Wisatawan Lokal,Review,Nama Tempat
True,"Kapan lagi masuk.ke perut bumi?

Gua Gong ini obyek wisata yang wajib dikunjungi jika Anda senang wisata alam. Stalaktit dan stalakmitnya luar biasa indah!  Beberapa bahkan masih aktif (terus tumbuh).
Hindari akhir pekan dan waktu libur supaya bisa menikmati indahnya gua tanpa tergesa-gesa atau berdesakan. Pakai sepatu yang nyaman untuk berjalan krn Anda akan banyak naik turun undak2an.

Disclaimer: bagi yang takut tempat sempit dan takut gelap tidak disarankan ya. Bagi kaum sepuh yang sulit naik turun tangga juga tidak disarankan.",Goa Gong Pacitan
True,Terlalu banyak ibu² menawarkan lampu senter dan guide. Juga fotographer terlalu banyak malah mengganggu.,Goa Gong Pacitan
True,Sangat indah,Goa Gong Pacitan
True,Di dalam goa sudah terdapat beberapa blower/kipas angin,Goa Gong Pacitan
True,"cobain aja ya masuk goa dipastikan uasikkk ada petualangan tersendiri, cuman aga panas gerah.. gunakan pakain tipis/ katun biar lebih nyaman",Goa Gong Pacitan
True,"Gua karst yg ada di pegunungan.kunjungan kedua, sudah banyak perubahan",Goa Gong Pacitan
True,Goa yang termasuk UNESCO geo park. Masuk pas weekday jadi sepi. Cuma ada 4 pengunjung. Tiket masuk kalo gak salah 20K perorang. Parkir motor 2K. Lokasi parkir motor di depan gua. Kalau parkir mobil agak jauh. Harus jalan kaki naik sekitar 100 m.,Goa Gong Pacitan
True,"Goa Alam yg cantik dgn stalagmit & stalagtitnya . Turunan tangganya curam & sempit , hrs ekstra hati3, Krn ada jg batu licin di antara turunannya , ticket hrga standar.",Goa Gong Pacitan
True,"Goa yang spesial
Rute tidak panjang tetapi stalaktit dan stalagmit nya unik
Ada yg bila dipukul menggema seperti gong
Ada yg tembus cahaya
Ada yg kilau nya seperti permata / kristal
Ada tiga 'kolam' di dalam dg penamaan dan mitos tertentu
Menyusuri goa sendiri ok aja, tapi bila ingin tahu detilnya bisa dg bantuan pemandu
Tarif pemandu 30k
Peminjaman senter 5k/senter
Peminjaman payung 5k/payung
Harga tiket masuk utk dewasa 20k/orang
Anak² 5k/anak
Jasa foto langsung jadi 20k/lbr
Ke sini saat weekday jadi sepi dan toko² / warung tutup",Goa Gong Pacitan
True,"It was really hot inside the cave; I thought it would be cool, but some spots had beautiful ice crystals",Goa Gong Pacitan
False,"Didalam goa sedikit panas sumuk rutenya lumayan panjang tp tidak buruk jg namanya goa ya isinya gitu""aja cuman menariknya ada lampu warna warni.",Goa Gong Pacitan
True,Goa nya bagus sekali..baru kali ini datang ke kab.pacitan,Goa Gong Pacitan
False,Pakai alas kaki yang baik dan nyaman. Dalamnya agak pengap,Goa Gong Pacitan
True,"Kami rombongan dari semarang ke Goa Gong, sangat bagus, ditambah suasana memang terasa jauh dari kebisingan, tingkatkan kebersihan dan fasilitas untuk para pengunjungnya, TOP markoTOP",Goa Gong Pacitan
False,tempat yang wajib di kunjugi,Goa Gong Pacitan
False,"Bagus sekali, kapan"" kembali kesini lagi",Goa Gong Pacitan
True,Pemandangan yang indah,Goa Gong Pacitan
True,"Ya gitulah masuk goa.
Panas capek pengab.
Gpp sekalian ngajari anak. Biar tau gmn dalemannya goa.",Goa Gong Pacitan
False,Grotte pas chère et agréable à visiter. Loin de tout le brouhaha des touristes !,Goa Gong Pacitan
True,wisata susur goa di goa gong di daerah pacitan yang cukup ikonik,Goa Gong Pacitan
True,Ada cerita di balik gelapnya gua.,Goa Gong Pacitan
False,"sebuah wisata yang indah yang berada di pacitan, namun cukup disayangkan pelayanan petugas yg kurang ramah.",Goa Gong Pacitan
True,"MasyaAllah....so beautiful....
Masuk kedalam bumi...👍👍😘😘🙏🙏",Goa Gong Pacitan
True,"Dari purworejo sekitar 4.5 jam , akses jalan sudah bagus , lingkungan goa terjaga , hanya saja banyak tukang jasa foto yg sedikit menyita perhatian , sebaiknya jika pengunjung sedang fokus menikmati keindahan goa maka biarkan terlebih dahulu mereka menikmati krena kami datang jauh dri pacitan dan jangan trlalu menganggu konsentrasi karena medan di dalam goa curam dan licin juga minim penerangan , jadi saran saya itu kita harus berhati2 dan fokus saat explore di dalam goa",Goa Gong Pacitan
True,"Suara gongnya diluar expetasi
Tapi ya MasyaAllah
Allahumma barik",Goa Gong Pacitan
True,"Sayang, kami masuk goa listrik padam shg blower udara off, terasa pengap.",Goa Gong Pacitan
True,Keindahan alam yg luar biasa,Goa Gong Pacitan
True,Oleh oleh disekitar gua gong lebih murah dr pada dipusat oleh oleh,Goa Gong Pacitan
False,Nice place to visit,Goa Gong Pacitan
True,"Sebuah gua yg terbentuk scr alamiah, sbgm umumnya dihiasi dg staktit dan stalakmit yg mnjadikn smkin elok, ada bgn batuan y dpt dipukul n dpt berbunyi sprt suara gong, lorong²nya ckp panjang n dalam dg medan y ckp mnantang  ... Pokoknya Good ❤️👍☝️",Goa Gong Pacitan
True,"Mantap.
Perlu sentuhan di bagian anak tangga dan pagar nya",Goa Gong Pacitan
True,Rute lumayan jauh.. jalan kaki.. goa bagus ...,Goa Gong Pacitan
False,Goa istimewa,Goa Gong Pacitan
True,Pas penuh ramai bngt 😂,Goa Gong Pacitan
False,"Tempatny sangat bagus untuk melihat goa, unik banget buat pengalaman yang seru dengan orang-orang tersayang",Goa Gong Pacitan
True,"Terbaik di Pacitan tempat wisata yang menyajikan stalakmit dan stalaktit yang sangat rupawan
Dengan jalan kaki hampir 1 jam bisa menikmati view yang sangat indah
Ditempuh kurang lebih 40 menit dari pusat kota Pacitan ke arah barat
Untuk parkir roda 4 dan roda 2 terpisah
Tersedia toko-toko yang menyediakan aneka oleh-oleh khas Goa Gong seperti kaos, akik, bros, cincin, makanan khas Pacitan
Enjoy view",Goa Gong Pacitan
False,Suka sekali. Bagus banget. Effort utk sampai ke goa gong dibutuhkan kondisi yg fit. Walopun sampai pintu masuk bisa dicapai dgn naik ojek.. tp utk menjelajah goanya butuh tubuh yg fit😁 selain itu oleh oleh di obyek wisata goa gong sangat murah murah sekali. Ada sumber mata air yg airnya jernih dingin dan seger sekali. Buat cuci muka. Dan kmrn wku minum krn haus banget sampai tenggorokan kering.  Best lah pokoknya  nya. Satu yg tdk wku sukai... Akses jlnnya yg berliuk liuk.,Goa Gong Pacitan
False,"Bagus tempatnya, cocok ya kesini pas weekday",Goa Gong Pacitan
True,"Tempat yg sepertinya mulai sepi, melihat beberapa bangunan tidak terawat, perlu adanya pembaruan tatakelola dan renovasi",Goa Gong Pacitan
False,keren banget,Goa Gong Pacitan
False,Siapakan tenaga yang banyak. Naik turun tangga,Goa Gong Pacitan
False,Bagus dan tertapi dan yg dibilang gong itu bunyian gema batu yg diketuk keras pake tanga keras dlm ruang hingga bergema seperti bunyi gong.,Goa Gong Pacitan
True,"Goa alami yang sungguh indah, keren mantul || dari parkiran jalan kaki naik cukup jauh, ada ojek sih bayar 5k tapi tanggung cuma sampai gerbang tiket selebihnya masih jalan kaki || didalam cukup pengap dan gerah, 1 orang dari rombonganku hampir aja pingsan didalam, walaupun sudah ada beberapa blower besar tapi tak cukup ampuh ""menggerakkan"" udara jika banyak orang yang masuk || hati-hati sewaktu jalan di dalam goa, jalannya cukup licin || didalam cukup gelap harap bawa senter sendiri / bisa sewa didepan goa 5k || bisa beli oleh-oleh disepanjang jalan turun",Goa Gong Pacitan
True,bagus,Goa Gong Pacitan
True,"Tempat yg sangat bagus skl, sangat mengagumkanNya. Mskpn panas di dlm dan capek jalan tp terbayarkan dgn keindahan di goa",Goa Gong Pacitan
True,"Bagus banget, tapi sebaiknya tidak bawa orang tua ataupun anak2. Karena udaranya tipis dan orang yg masuk terlalu banyak. Sirkulasi udaranya tidak bagus karena atmosphere udaranya pengap dan tipis sekali udaranya",Goa Gong Pacitan
False,Wow,Goa Gong Pacitan
True,"Goa Gong salah satu tempat wisata yang terkenal di pacitan. Salah satu warisan dunia UNESCO.  Warga pacitan patut berbangga.
Dulu untuk parkir bisa masuk kedalam kawasan, untuk sekarang parkiran agak jauh sebrang jalan. Parkirannya sangat luas difasilitasi mushola juga.
Dari parkiran sampai ke lokasi jalan paling lama 10 menit. Jika tidak mau capek bisa naik ojek Rp. 5000,-.  Harga tiket masuk dewas Rp. 20.000,- anak-anak Rp 5000,-..
Siapkan senter dari rumah atau jika tidak ada  bisa sewa di lokasi Rp. 5000. Walaupun di dalam ada cahaya tapi remang-remang dan butuh cahaya senter untuk memerangi berjalan karena gelap dan agak licin.
Bisa menyewa tourguide Rp 30.000 untuk memberi penjelasan mengenai goa gong.
Di namakan goa Gong ternyata jika salah satu Skalaktit Skalagmit dipukul maka suaranya seperti salah satu alat musik gamelan yaitu Gong.
Di tempat ini juga banyak menjual cindramata yang bisa anda bawa pulang untuk oleh-oleh.
Tempat wisata ini ramainya sabtu dan minggu. Jika ingin menikmati goa Gong lebih leluasa datanglah selain weekend.",Goa Gong Pacitan
True,Sudah bagus hanya saja toiletnya kurang bersih..,Goa Gong Pacitan
False,Sangat bagus.sekali dan dekat dengan pantai tibo dan juga hawa di tempat tersebut tdk terlalu panas boleh dikata adem dan harga tiket terjangkau,Goa Gong Pacitan
True,Baru kali ini melihat stalaktit dan stalagmit.. Joooss banget,Goa Gong Pacitan
True,Perlunya inovasi dalam pariwisata. Terlalu monoton jadi bosan untuk berkunjung lagi.,Goa Gong Pacitan
True,"Wisata alam yang menakjubkan, betapa indahnya ciptaan Tuhan yang luar biasa...",Goa Gong Pacitan
True,mantap,Goa Gong Pacitan
False,Menyenangkan,Goa Gong Pacitan
True,"Kl kesini disarankan pk sepatu sama kipas. jangan datang waktu liburannn bisaaa kepanasann didlm goa soalnya di dlm goa udaranya dikittt.
Goanya Kereeennn batunya ada yg dipukul bisaa bunyiii Gooonggg",Goa Gong Pacitan
True,"Kalau kesini pakai sandal yg nyaman saja, siapakan senter kecil dan kipas tangan",Goa Gong Pacitan
True,Alhamdulillaah pengalaman yang menarik dan menambah wawasan bagi kami sekeluarga.,Goa Gong Pacitan
True,"Turun dari bus langsung di jemput ojek karena jalanan naik ,sebenarnya jaraknya gak terlalu jauh kelokasi goa",Goa Gong Pacitan
True,Di dalam goanya cukup gerah dan indah,Goa Gong Pacitan
True,"Perlu tenaga ekstra yaa mulai dari masuk kawasan sudah menanjak,lalu memasuki area gua turunan tapi sesudah itu juga menanjak kalau mau keluar,ada tour guide skalian nawarin foto sesekali seperti memaksa,ohyaa juga ada penyewa senter dan saya kurang sreg karna banyak yg menyodorkan trus seperti memaksa juga,,saya sudah sewa 1  dan itu cukup tp suami dan anak saya terus disodorin untuk menyewa,juga buat tg nya semua fotonya blur kami tidak diperlihatkan dulu hasil dikameranya alhasil 5 foto 100rbu jelek hasilnya mengecewakan",Goa Gong Pacitan
True,Sangat indah,Goa Gong Pacitan
True,"Goa nya bersih, sudah banyak lampu di dalam goa, jd tidak gelap. Ada guide lokal utk memandu selama di dalam goa, bayar 30k saja",Goa Gong Pacitan
True,Jalan terjal...menurunnya curam....dan gelap,Goa Gong Pacitan
True,"Jika banyak yang me review jalannya lumayan jauh, sebenarnya gak begitu jauh. Malah enjoy aja sih bawa 2 anak pada jalan kaki semua. Banyak penjual kipas, sewa senter dan jg jasa foto 20 k, pertama kali ajak anak-anak kesini untuk wisata edukasi walau belum begitu ngerti cm sangat menyenangkan",Goa Gong Pacitan
True,"Tempat parkir luas, jarak goa sama parkiran sekitar 5 menit jalan kaki, jasa ojek 5k bagi yg mager hehehe, Tiket masuk dewasa 20k, anak2 5k, disarankan bawa senter didalam gelap,trus agak lembab jalanya,",Goa Gong Pacitan
True,"Dari tempat parkiran mobil menuju goa gong sebenernya tdk terlalu jauh, cuma jalan lumayan nanjak, apabila mager jalan kaki tersedia ojok dengan harga 5k. Untuk tiket masuk orang dewasa 20k, anak2 5k. Setelah sampai kita masih jalan lagi menuju tempat goa gong

Ojek 5k
Tiket  dewasa 20k
Tiket anak 5k
Jasa pandu cocok untuk yg bawa anak  30k
Sewa senter  5k  per senter
Jasa photo 20k  bisa  bantu photo  di dalam goa  dan  cetak photo",Goa Gong Pacitan
True,Bagus lebih baik datang awal/pagi belum banyak orang,Goa Gong Pacitan
True,"Kemarin kesini sama keluarga besar Krn penasaran dengan gua terbesar se-Asia tenggara ini. Nyampe lokasi kita harus jalan dari tempat parkir ke goa gong kira² 100an meter arah naik, kalau males jalan ada ojek motor Rp.5000,- sampai atas Tempat penjualan tiket, utk  HTM Rp 20.000,- kemudian jalan lg yg jauhnya hampir  sama 100an meter menuju pintu masuk Goa. Dipintu masuk goa ada yg jualan kipas tangan Rp. 5000, ada yg rental senter, ada jasa pemandu Rp. 30.000,- kemudian ada jasa tukang foto juga dstu. Keluar goa kita dilewatkan ke arah yg berbeda dgn pintu masuk td, kita lewat kearah semacam tempat utk jualan oleh², souvenir, dll. Mungkin bagi yg bawa balita hrs lbh hati² Krn medianya sangat terjal sekali.",Goa Gong Pacitan
True,Luar biasa. Ga perlu ke luar negeri. Di Pacitan jg ada goa dengan marmer dan kristal di dalamnya,Goa Gong Pacitan
True,"Bagus dan seru, beberapa titik sangat istagramable, juni 2024, tiket seharga 22.000, senter 5.000, dan foto plus pemandu sekitar 20.000 (kang fotonya sangat membatu lo gais, bisa bantu take dokumentasi sebanyak mungkin)",Goa Gong Pacitan
True,"Kami sekeluarga baru pertama kali ke Goa Gong, lumayan bagus tempatnya, terkoordinir dengan rapi juga, banyak penjualnya ramah. Terus tingkatkan kenyamanan dan keamanan pengunjung..",Goa Gong Pacitan
True,Estetika alam 90% asih alami natural,Goa Gong Pacitan
True,Mengerikan..,Goa Gong Pacitan
True,"Goa purba dengan sejuta pesona, menyusuri keindahan goa  sejauh 300 m persiapan kondisi badan karena jembatan licin",Goa Gong Pacitan
False,Sangat bagus sekali tempat wisata alam yang menyuguhkan keindahsn dan kekuasasn sang pencipta,Goa Gong Pacitan
True,"Dari tempat parkiran mobil menuju goa gong sebenernya tdk terlalu jauh, cuma jalan lumayan nanjak, apabila mager jalan kaki tersedia ojok dengan harga 5k. Untuk tiket masuk orang dewasa 20k, anak2 5k. Setelah sampai kita masih jalan lagi menuju tempat goa gong. Kalau kesini lebih baik membawa kipas dan persiapan tissue karena di dalam goa lumayan panas (karena naik turun tangga) meskipun didalam ada titik2 spot kipas angin besar.",Goa Gong Pacitan
True,"Sangat asyik terutama bagi yang suka tantangan.
htm dewasa 20rb
siapkan kondisi fisik yang prima..
dari parkiran bis disediakan ojek menuju ke loket goa. hanya 5rb

diparkiran bis ada penjual bakso kuah , 5rb cuma dapat 3 biji. (no rekomendet)

oleh2 murah meriah di pintu keluar gua. toko yang pinggir jalan raya persis.",Goa Gong Pacitan
True,Tempat nya bagus banget masih asri kalo kesini enaknya tuh pas ga weekend jadi ga terlalu ramai kalo mau foto atau buat video. Hatihati juga kalo turun atau naik tangga nya ya agak ngeri ngeri sedap. Disini juga ada abang abang yg motoin langsung bisa dicetak pakai kamera dslr gamahal ko cuma 20an aja udah dpt kenangan di goa gong🤩❤️,Goa Gong Pacitan
True,"Goa bagus dan bersih, sewa pemandu saja murah cm 30rb",Goa Gong Pacitan
True,"Goa nya dalem banget, tapi bagus. Sebelum kesana siapin kipas dan senter. Disana juga ada yg sewain senter 5.000/senter. trus nanti biasanya kalo turun dr mobil pasti banyak bapak2 gojek nyamperin buat ngnterin ke lokasi. Mending naik gojek sih biar ga capek krn nanti masuk goanya bakalan capek juga. harga gojek nya juga relatif murah 5.000/motor.",Goa Gong Pacitan
True,"Utk menuju lokasi lumayan capek, tp di bayar keindahan goa gong 👍",Goa Gong Pacitan
True,"Goanya luas sekali. Hati hati jalannya naik turun dan licin. Di dalam ada lampunya tetapi kalau mau bawa senter lebih baik, ada penyewaan senter di depan gua, limaribuan sewanya, cukup membantu kalau ada senter. Stalakmit dan stalaktitnya terlihat megah dan magis.
Setelah dari gua gong bisa dilanjut wisata pantai, paling dekat ada pantai Banyu Tibo, Buyutan dan Klayar",Goa Gong Pacitan
True,"Magical!

Bagus banget goa ini. Warisan dari alam yang sungguh memanjakan mata. Melihat stalaktit dan stalagmit yang cantik sekaligus gagah sungguh menggugah rasa takjub.

Dengan pengelolaan yang lebih bagus lagi, harusnya jadi nomer 1 wisata di Pacitan.",Goa Gong Pacitan
False,Tgl 19 Mei 2024...kami rt4 re 20 Pangkuan Tridadi Dleman DIY ke Gu Gong... ternganga lihat keindahanya.. .. kami senang atas ciptaaNya u kita nikmati... Thank's God,Goa Gong Pacitan
False,"Tempat nya masih asri, tempat bagus untuk bertualang bersama teman teman.",Goa Gong Pacitan
False,Goa nya keren banget si parah!!! Recommend bgt buat liburan yg ekstrim² 💕,Goa Gong Pacitan
True,Tempatnya mantap,Goa Gong Pacitan
False,"Stalagmitnya bagus banget, tangga menuju ruangan2 sdh di kasih pagar rapi dan kuat",Goa Gong Pacitan
True,"Disarankan pake pemandu sih, sekalian bisa difotoin, jalan cukup jauh dan naik turun tangga",Goa Gong Pacitan
True,"Goa terbesar di Indonesia
- Masuk 20rb
- Ojek 5rb
- Parkir 5rb
Ada Ibu Tua yg jualan Nasi Tiwul sejak tahun 1998, ajib banget citarasa nya Indonesia...",Goa Gong Pacitan
False,"Di dalam sumpek panas sampai berkeringat ,baru pertama kali masuk ,TDK di sangka dalam nya lebar ada turunannya tangga ,kalau bawa anak kecil kasihan mending jangan di ajak masuk si kecilnya ..cukup di luar menikmati pemandangan .",Goa Gong Pacitan
True,"Goa yang indah ... stalagmit dan stalagtitnya begitu indah dari kejauhan seperti membentuk bangunan candi kalo menurut saya ....
Saya datang pagi hati masih tidak ada pengunjung jadi didalam hawanya sejuk karena ada blower sebagai penunjang juga ..... icon dari goa ini kan ada batuan yang bisa dipukul dan suaranya menyerupai gong dan itu terletak diruang 7
Memang jika banyak pengunjung goa akan terasa panas dan mungkin pengap bagi sebagian orang dengan jalan yg memang sempit jika ramai agak tidak nyaman juga
Tapi untuk semuanya sangat indah ...
Ada jasa guide nya juga namun kalo saya lebih senang mengeksplor sendiri karena bisa lama menikmati keindahan goa disetiap detail ruangannya
Ada banyak penjual juga ...
Saran saya gk perlu ngojek kalo mw naik krn deket tapi jika ingin memberi penghsilan ke tukang ojek y gpp 5rb per org tiket 20rb",Goa Gong Pacitan
True,Sngt mènajubkan..tmpt yg bnyak cerita..,Goa Gong Pacitan
False,Memahami Proses Alami,Goa Gong Pacitan
True,"Yg mau kesini biaya masuk /org 20k+5k untuk biaya parkir mobil
Sampai di atas ada jasa penyewaan senter 5k & pemandu 30k (tidak diharuskan)
Di Pantai klayar biaya masuk 15k
Rute goa gong-pantai klayar memakan waktu 25menit",Goa Gong Pacitan
True,Geopark yang indah namun semakin banyak wisatawan semakin rentan tercemar,Goa Gong Pacitan
False,Josss,Goa Gong Pacitan
True,"Pengalaman yang menyenangkan sangat indah sekali rekomen buat liburan
Didalam goa sejuk dan utamakan stamina ya karena perjlannya butuh tenaga extra",Goa Gong Pacitan
False,"Asik banget, kita bisa temukan spot foto yg estetik dan indah... Saya sarankan bawa kamera digital biar lebih mantap jepretan nya dan banyak sovenir dg harga yg terjangkau... Selamat berkunjung kawan",Goa Gong Pacitan
True,sangat bagus,Goa Gong Pacitan
True,"I suggest you to rent flash light before go into the cave, and make sure youre in good condition",Goa Gong Pacitan
True,"Baru kali ini wisata goa n bagussss sekali.. benar2 terawat n tambah cantik karena ada lampu hias warna warni yang memberi efek struktur goa yang dramatis. Sudah dipasang kipas angin yang kencang jadi di beberapa bagian terasa semilir, tapi di bagian lain tetap terasa panas. Kekurangan lainnya akses menuju tempat ini susah buat lansia, anak2, n yang punya masalah kaki karena menanjak dan ada tangga2 yg anak tangganya tinggi",Goa Gong Pacitan
True,"Panas sekali ketika memasuki goa, untuk anak kecil kurang recommended karena ada tangga yang sangat curam",Goa Gong Pacitan
