Wisatawan Lokal,Review,Nama Tempat,labels
True,goanya dirawat bersih ga expect dalamnya panas bngt tp viewnya worth it,Goa Gong Pacitan,SENANG
True,lokasi pariwisataalam pegunungangoa yg menarik suasana alam air terdengar berjatuhan tiket murah parkir luas mudah dikunjungi,Goa Gong Pacitan,SEDIH
True,saya malas jalan jauh dari parkiran masih pula harus jalan naik turun tangga mau pulang juga harus muterin pasar souvenir untuk apa masyaallah lelah sekali ini contoh tempat wisata yang kalau dikelola pemda malah jadi amburadul,Goa Gong Pacitan,SEDIH
False,masyaallah sangat indah ciptaan allah,Goa Gong Pacitan,SENANG
True,pas musim hujan sangat licin jadi tidak bisa menikmati pemandangan yang indah karena fokus supaya gak terpleset,Goa Gong Pacitan,SEDIH
True,luar biasa alami,Goa Gong Pacitan,SENANG
True,keren banget nggak rugi ke sini,Goa Gong Pacitan,SENANG
True,bagus saran bawa penerangan sendiri boleh ataumau pake jaasa sewasl senter juga bisa kalo mw pake jasa tour guide juga bisa cukup k hati² terpeleset ya karena licin,Goa Gong Pacitan,TAKUT
True,goa gong pacitan jawa timur masuk kategori sbg salah satu goa terindah di asia tenggara sy dtg saat weekend dgn htm org dari area parkir menuju pintu masuk goa gong berjarak sekitar meter dgn jalan yg menanjak ada jasa ojek motor dgn tarif rupiah dan pengunjung akan diantar smp ke atas ada pula jasa pemandu dgn tarif rupiah yg akan menjelaskan mengenai setiap sudut ruang dari goa gong mulai dari ruang marmer ruang kristal sendang mata air sampai mempraktikkan memukul stalaktit stalagmit tertentu yg kemudian akan menghasilkan bunyi sprt gong ada jasa penyewaan senter juga dgn tarif rupiah krn di dlm cukup gelap walaupun sudah difasilitasi dgn adanya bbrp sumber penerangan banyak pedagang oleh² mulai dari makanan camilan pakaian sampai batu akik di dlm goa ada lampu warna warni yg di pasang utk memberikan efek dramatis selalu perhatikan langkah krn goa meneteskan air yg membuat jalan mnjd licin,Goa Gong Pacitan,SENANG
True,terakhir menjelajahi goa itu waktu aku masih umur tahunan kali ya dan tahun kemudian aku mencoba untuk menjelajahi goa gong di pacitan awalnya agak kesel ditawarin ojek karena katanya jauh tapi baru naik ternyata udah langsung sampai aja padahal yang jalannya agak panjang tuh dari pintu masuk ke lokasi goa nya hahaha tapi overall aku puas dengan pemandangan yang disuguhkan kaya kembali ke masa anak” yang melihat sesuatu yang indah itu langsung takjub cuman agak nyesel kemarin menolak tawaran pake pemandu wisata karena pikirnya paling bosen gak akan lama ditempat itu,Goa Gong Pacitan,SENANG
True,kesini sekitar jam sore dan untungnya sudah sepi jadi ngga crowded bebatuannya sangat bagus sekali bapak guide nya juga sangat ramah,Goa Gong Pacitan,SENANG
True,bagus cukup nggak ada kata lain agak pengap aja padahal masih sepi,Goa Gong Pacitan,SEDIH
False,goanya besar sekali,Goa Gong Pacitan,JIJIK
True,jalur menuju goanya cocok buat treking pemandangannya bagus dalam guanya sangat megah formasi bebatuannya menakjubkan terdapat beberapa titik penerangan di dalam sayangnya tidak ada petunjuk dimana letak batu yg berbunyi ketika dipukul katanya harus sewa guide orang situ yang tau letaknya,Goa Gong Pacitan,SENANG
True,kapan lagi masukke perut bumi gua gong ini obyek wisata yang wajib dikunjungi jika anda senang wisata alam stalaktit dan stalakmitnya luar biasa indah beberapa bahkan masih aktif terus tumbuh hindari akhir pekan dan waktu libur supaya bisa menikmati indahnya gua tanpa tergesagesa atau berdesakan pakai sepatu yang nyaman untuk berjalan krn anda akan banyak naik turun undakan disclaimer bagi yang takut tempat sempit dan takut gelap tidak disarankan ya bagi kaum sepuh yang sulit naik turun tangga juga tidak disarankan,Goa Gong Pacitan,SENANG
True,terlalu banyak ibu² menawarkan lampu senter dan guide juga fotographer terlalu banyak malah mengganggu,Goa Gong Pacitan,JIJIK
True,sangat indah,Goa Gong Pacitan,SENANG
True,di dalam goa sudah terdapat beberapa blowerkipas angin,Goa Gong Pacitan,JIJIK
True,cobain aja ya masuk goa dipastikan uasikkk ada petualangan tersendiri cuman aga panas gerah gunakan pakain tipis katun biar lebih nyaman,Goa Gong Pacitan,TAKUT
True,gua karst yg ada di pegunungankunjungan kedua sudah banyak perubahan,Goa Gong Pacitan,SEDIH
True,goa yang termasuk unesco geo park masuk pas weekday jadi sepi cuma ada pengunjung tiket masuk kalo gak salah k perorang parkir motor k lokasi parkir motor di depan gua kalau parkir mobil agak jauh harus jalan kaki naik sekitar m,Goa Gong Pacitan,TAKUT
True,goa alam yg cantik dgn stalagmit stalagtitnya turunan tangganya curam sempit hrs ekstra hati krn ada jg batu licin di antara turunannya ticket hrga standar,Goa Gong Pacitan,SENANG
True,goa yang spesial rute tidak panjang tetapi stalaktit dan stalagmit nya unik ada yg bila dipukul menggema seperti gong ada yg tembus cahaya ada yg kilau nya seperti permata kristal ada tiga kolam di dalam dg penamaan dan mitos tertentu menyusuri goa sendiri ok aja tapi bila ingin tahu detilnya bisa dg bantuan pemandu tarif pemandu k peminjaman senter ksenter peminjaman payung kpayung harga tiket masuk utk dewasa korang anak² kanak jasa foto langsung jadi klbr ke sini saat weekday jadi sepi dan toko² warung tutup,Goa Gong Pacitan,TAKUT
True,it was really hot inside the cave i thought it would be cool but some spots had beautiful ice crystals,Goa Gong Pacitan,SEDIH
False,didalam goa sedikit panas sumuk rutenya lumayan panjang tp tidak buruk jg namanya goa ya isinya gituaja cuman menariknya ada lampu warna warni,Goa Gong Pacitan,SENANG
True,goa nya bagus sekalibaru kali ini datang ke kabpacitan,Goa Gong Pacitan,SENANG
False,pakai alas kaki yang baik dan nyaman dalamnya agak pengap,Goa Gong Pacitan,JIJIK
True,kami rombongan dari semarang ke goa gong sangat bagus ditambah suasana memang terasa jauh dari kebisingan tingkatkan kebersihan dan fasilitas untuk para pengunjungnya top markotop,Goa Gong Pacitan,SENANG
False,tempat yang wajib di kunjugi,Goa Gong Pacitan,SEDIH
False,bagus sekali kapan kembali kesini lagi,Goa Gong Pacitan,SENANG
True,pemandangan yang indah,Goa Gong Pacitan,SENANG
True,ya gitulah masuk goa panas capek pengab gpp sekalian ngajari anak biar tau gmn dalemannya goa,Goa Gong Pacitan,JIJIK
False,grotte pas chère et agréable à visiter loin de tout le brouhaha des touristes,Goa Gong Pacitan,MARAH
True,wisata susur goa di goa gong di daerah pacitan yang cukup ikonik,Goa Gong Pacitan,SENANG
True,ada cerita di balik gelapnya gua,Goa Gong Pacitan,TAKUT
False,sebuah wisata yang indah yang berada di pacitan namun cukup disayangkan pelayanan petugas yg kurang ramah,Goa Gong Pacitan,SEDIH
True,masyaallahso beautiful masuk kedalam bumi,Goa Gong Pacitan,SENANG
True,dari purworejo sekitar jam akses jalan sudah bagus lingkungan goa terjaga hanya saja banyak tukang jasa foto yg sedikit menyita perhatian sebaiknya jika pengunjung sedang fokus menikmati keindahan goa maka biarkan terlebih dahulu mereka menikmati krena kami datang jauh dri pacitan dan jangan trlalu menganggu konsentrasi karena medan di dalam goa curam dan licin juga minim penerangan jadi saran saya itu kita harus berhati dan fokus saat explore di dalam goa,Goa Gong Pacitan,TAKUT
True,suara gongnya diluar expetasi tapi ya masyaallah allahumma barik,Goa Gong Pacitan,TAKUT
True,sayang kami masuk goa listrik padam shg blower udara off terasa pengap,Goa Gong Pacitan,SEDIH
True,keindahan alam yg luar biasa,Goa Gong Pacitan,SENANG
True,oleh oleh disekitar gua gong lebih murah dr pada dipusat oleh oleh,Goa Gong Pacitan,SENANG
False,nice place to visit,Goa Gong Pacitan,SENANG
True,sebuah gua yg terbentuk scr alamiah sbgm umumnya dihiasi dg staktit dan stalakmit yg mnjadikn smkin elok ada bgn batuan y dpt dipukul n dpt berbunyi sprt suara gong lorong²nya ckp panjang n dalam dg medan y ckp mnantang pokoknya good,Goa Gong Pacitan,TAKUT
True,mantap perlu sentuhan di bagian anak tangga dan pagar nya,Goa Gong Pacitan,SENANG
True,rute lumayan jauh jalan kaki goa bagus,Goa Gong Pacitan,SENANG
False,goa istimewa,Goa Gong Pacitan,SENANG
True,pas penuh ramai bngt,Goa Gong Pacitan,SENANG
False,tempatny sangat bagus untuk melihat goa unik banget buat pengalaman yang seru dengan orangorang tersayang,Goa Gong Pacitan,SENANG
True,terbaik di pacitan tempat wisata yang menyajikan stalakmit dan stalaktit yang sangat rupawan dengan jalan kaki hampir jam bisa menikmati view yang sangat indah ditempuh kurang lebih menit dari pusat kota pacitan ke arah barat untuk parkir roda dan roda terpisah tersedia tokotoko yang menyediakan aneka oleholeh khas goa gong seperti kaos akik bros cincin makanan khas pacitan enjoy view,Goa Gong Pacitan,SENANG
False,suka sekali bagus banget effort utk sampai ke goa gong dibutuhkan kondisi yg fit walopun sampai pintu masuk bisa dicapai dgn naik ojek tp utk menjelajah goanya butuh tubuh yg fit selain itu oleh oleh di obyek wisata goa gong sangat murah murah sekali ada sumber mata air yg airnya jernih dingin dan seger sekali buat cuci muka dan kmrn wku minum krn haus banget sampai tenggorokan kering best lah pokoknya nya satu yg tdk wku sukai akses jlnnya yg berliuk liuk,Goa Gong Pacitan,SENANG
False,bagus tempatnya cocok ya kesini pas weekday,Goa Gong Pacitan,SENANG
True,tempat yg sepertinya mulai sepi melihat beberapa bangunan tidak terawat perlu adanya pembaruan tatakelola dan renovasi,Goa Gong Pacitan,SEDIH
False,keren banget,Goa Gong Pacitan,SENANG
False,siapakan tenaga yang banyak naik turun tangga,Goa Gong Pacitan,MARAH
False,bagus dan tertapi dan yg dibilang gong itu bunyian gema batu yg diketuk keras pake tanga keras dlm ruang hingga bergema seperti bunyi gong,Goa Gong Pacitan,SEDIH
True,goa alami yang sungguh indah keren mantul dari parkiran jalan kaki naik cukup jauh ada ojek sih bayar k tapi tanggung cuma sampai gerbang tiket selebihnya masih jalan kaki didalam cukup pengap dan gerah orang dari rombonganku hampir aja pingsan didalam walaupun sudah ada beberapa blower besar tapi tak cukup ampuh menggerakkan udara jika banyak orang yang masuk hatihati sewaktu jalan di dalam goa jalannya cukup licin didalam cukup gelap harap bawa senter sendiri bisa sewa didepan goa k bisa beli oleholeh disepanjang jalan turun,Goa Gong Pacitan,TAKUT
True,bagus,Goa Gong Pacitan,SENANG
True,tempat yg sangat bagus skl sangat mengagumkannya mskpn panas di dlm dan capek jalan tp terbayarkan dgn keindahan di goa,Goa Gong Pacitan,SENANG
True,bagus banget tapi sebaiknya tidak bawa orang tua ataupun anak karena udaranya tipis dan orang yg masuk terlalu banyak sirkulasi udaranya tidak bagus karena atmosphere udaranya pengap dan tipis sekali udaranya,Goa Gong Pacitan,TAKUT
False,wow,Goa Gong Pacitan,SENANG
True,goa gong salah satu tempat wisata yang terkenal di pacitan salah satu warisan dunia unesco warga pacitan patut berbangga dulu untuk parkir bisa masuk kedalam kawasan untuk sekarang parkiran agak jauh sebrang jalan parkirannya sangat luas difasilitasi mushola juga dari parkiran sampai ke lokasi jalan paling lama menit jika tidak mau capek bisa naik ojek rp harga tiket masuk dewas rp anakanak rp siapkan senter dari rumah atau jika tidak ada bisa sewa di lokasi rp walaupun di dalam ada cahaya tapi remangremang dan butuh cahaya senter untuk memerangi berjalan karena gelap dan agak licin bisa menyewa tourguide rp untuk memberi penjelasan mengenai goa gong di namakan goa gong ternyata jika salah satu skalaktit skalagmit dipukul maka suaranya seperti salah satu alat musik gamelan yaitu gong di tempat ini juga banyak menjual cindramata yang bisa anda bawa pulang untuk oleholeh tempat wisata ini ramainya sabtu dan minggu jika ingin menikmati goa gong lebih leluasa datanglah selain weekend,Goa Gong Pacitan,SENANG
True,sudah bagus hanya saja toiletnya kurang bersih,Goa Gong Pacitan,SEDIH
False,sangat bagussekali dan dekat dengan pantai tibo dan juga hawa di tempat tersebut tdk terlalu panas boleh dikata adem dan harga tiket terjangkau,Goa Gong Pacitan,SENANG
True,baru kali ini melihat stalaktit dan stalagmit joooss banget,Goa Gong Pacitan,SENANG
True,perlunya inovasi dalam pariwisata terlalu monoton jadi bosan untuk berkunjung lagi,Goa Gong Pacitan,SEDIH
True,wisata alam yang menakjubkan betapa indahnya ciptaan tuhan yang luar biasa,Goa Gong Pacitan,SENANG
True,mantap,Goa Gong Pacitan,SENANG
False,menyenangkan,Goa Gong Pacitan,SENANG
True,kl kesini disarankan pk sepatu sama kipas jangan datang waktu liburannn bisaaa kepanasann didlm goa soalnya di dlm goa udaranya dikittt goanya kereeennn batunya ada yg dipukul bisaa bunyiii gooonggg,Goa Gong Pacitan,TAKUT
True,kalau kesini pakai sandal yg nyaman saja siapakan senter kecil dan kipas tangan,Goa Gong Pacitan,SENANG
True,alhamdulillaah pengalaman yang menarik dan menambah wawasan bagi kami sekeluarga,Goa Gong Pacitan,SENANG
True,turun dari bus langsung di jemput ojek karena jalanan naik sebenarnya jaraknya gak terlalu jauh kelokasi goa,Goa Gong Pacitan,SENANG
True,di dalam goanya cukup gerah dan indah,Goa Gong Pacitan,JIJIK
True,perlu tenaga ekstra yaa mulai dari masuk kawasan sudah menanjaklalu memasuki area gua turunan tapi sesudah itu juga menanjak kalau mau keluarada tour guide skalian nawarin foto sesekali seperti memaksaohyaa juga ada penyewa senter dan saya kurang sreg karna banyak yg menyodorkan trus seperti memaksa jugasaya sudah sewa dan itu cukup tp suami dan anak saya terus disodorin untuk menyewajuga buat tg nya semua fotonya blur kami tidak diperlihatkan dulu hasil dikameranya alhasil foto rbu jelek hasilnya mengecewakan,Goa Gong Pacitan,SEDIH
True,sangat indah,Goa Gong Pacitan,SENANG
True,goa nya bersih sudah banyak lampu di dalam goa jd tidak gelap ada guide lokal utk memandu selama di dalam goa bayar k saja,Goa Gong Pacitan,SENANG
True,jalan terjalmenurunnya curamdan gelap,Goa Gong Pacitan,SEDIH
True,jika banyak yang me review jalannya lumayan jauh sebenarnya gak begitu jauh malah enjoy aja sih bawa anak pada jalan kaki semua banyak penjual kipas sewa senter dan jg jasa foto k pertama kali ajak anakanak kesini untuk wisata edukasi walau belum begitu ngerti cm sangat menyenangkan,Goa Gong Pacitan,SENANG
True,tempat parkir luas jarak goa sama parkiran sekitar menit jalan kaki jasa ojek k bagi yg mager hehehe tiket masuk dewasa k anak k disarankan bawa senter didalam gelaptrus agak lembab jalanya,Goa Gong Pacitan,SENANG
True,dari tempat parkiran mobil menuju goa gong sebenernya tdk terlalu jauh cuma jalan lumayan nanjak apabila mager jalan kaki tersedia ojok dengan harga k untuk tiket masuk orang dewasa k anak k setelah sampai kita masih jalan lagi menuju tempat goa gong ojek k tiket dewasa k tiket anak k jasa pandu cocok untuk yg bawa anak k sewa senter k per senter jasa photo k bisa bantu photo di dalam goa dan cetak photo,Goa Gong Pacitan,SENANG
True,bagus lebih baik datang awalpagi belum banyak orang,Goa Gong Pacitan,SEDIH
True,kemarin kesini sama keluarga besar krn penasaran dengan gua terbesar seasia tenggara ini nyampe lokasi kita harus jalan dari tempat parkir ke goa gong kira² an meter arah naik kalau males jalan ada ojek motor rp sampai atas tempat penjualan tiket utk htm rp kemudian jalan lg yg jauhnya hampir sama an meter menuju pintu masuk goa dipintu masuk goa ada yg jualan kipas tangan rp ada yg rental senter ada jasa pemandu rp kemudian ada jasa tukang foto juga dstu keluar goa kita dilewatkan ke arah yg berbeda dgn pintu masuk td kita lewat kearah semacam tempat utk jualan oleh² souvenir dll mungkin bagi yg bawa balita hrs lbh hati² krn medianya sangat terjal sekali,Goa Gong Pacitan,TAKUT
True,luar biasa ga perlu ke luar negeri di pacitan jg ada goa dengan marmer dan kristal di dalamnya,Goa Gong Pacitan,SENANG
True,bagus dan seru beberapa titik sangat istagramable juni tiket seharga senter dan foto plus pemandu sekitar kang fotonya sangat membatu lo gais bisa bantu take dokumentasi sebanyak mungkin,Goa Gong Pacitan,SENANG
True,kami sekeluarga baru pertama kali ke goa gong lumayan bagus tempatnya terkoordinir dengan rapi juga banyak penjualnya ramah terus tingkatkan kenyamanan dan keamanan pengunjung,Goa Gong Pacitan,SENANG
True,estetika alam asih alami natural,Goa Gong Pacitan,SENANG
True,mengerikan,Goa Gong Pacitan,TAKUT
True,goa purba dengan sejuta pesona menyusuri keindahan goa sejauh m persiapan kondisi badan karena jembatan licin,Goa Gong Pacitan,SENANG
False,sangat bagus sekali tempat wisata alam yang menyuguhkan keindahsn dan kekuasasn sang pencipta,Goa Gong Pacitan,SENANG
True,dari tempat parkiran mobil menuju goa gong sebenernya tdk terlalu jauh cuma jalan lumayan nanjak apabila mager jalan kaki tersedia ojok dengan harga k untuk tiket masuk orang dewasa k anak k setelah sampai kita masih jalan lagi menuju tempat goa gong kalau kesini lebih baik membawa kipas dan persiapan tissue karena di dalam goa lumayan panas karena naik turun tangga meskipun didalam ada titik spot kipas angin besar,Goa Gong Pacitan,SENANG
True,sangat asyik terutama bagi yang suka tantangan htm dewasa rb siapkan kondisi fisik yang prima dari parkiran bis disediakan ojek menuju ke loket goa hanya rb diparkiran bis ada penjual bakso kuah rb cuma dapat biji no rekomendet oleh murah meriah di pintu keluar gua toko yang pinggir jalan raya persis,Goa Gong Pacitan,SENANG
True,tempat nya bagus banget masih asri kalo kesini enaknya tuh pas ga weekend jadi ga terlalu ramai kalo mau foto atau buat video hatihati juga kalo turun atau naik tangga nya ya agak ngeri ngeri sedap disini juga ada abang abang yg motoin langsung bisa dicetak pakai kamera dslr gamahal ko cuma an aja udah dpt kenangan di goa gong,Goa Gong Pacitan,TAKUT
True,goa bagus dan bersih sewa pemandu saja murah cm rb,Goa Gong Pacitan,SENANG
True,goa nya dalem banget tapi bagus sebelum kesana siapin kipas dan senter disana juga ada yg sewain senter senter trus nanti biasanya kalo turun dr mobil pasti banyak bapak gojek nyamperin buat ngnterin ke lokasi mending naik gojek sih biar ga capek krn nanti masuk goanya bakalan capek juga harga gojek nya juga relatif murah motor,Goa Gong Pacitan,SENANG
True,utk menuju lokasi lumayan capek tp di bayar keindahan goa gong,Goa Gong Pacitan,SENANG
True,goanya luas sekali hati hati jalannya naik turun dan licin di dalam ada lampunya tetapi kalau mau bawa senter lebih baik ada penyewaan senter di depan gua limaribuan sewanya cukup membantu kalau ada senter stalakmit dan stalaktitnya terlihat megah dan magis setelah dari gua gong bisa dilanjut wisata pantai paling dekat ada pantai banyu tibo buyutan dan klayar,Goa Gong Pacitan,SENANG
True,magical bagus banget goa ini warisan dari alam yang sungguh memanjakan mata melihat stalaktit dan stalagmit yang cantik sekaligus gagah sungguh menggugah rasa takjub dengan pengelolaan yang lebih bagus lagi harusnya jadi nomer wisata di pacitan,Goa Gong Pacitan,SENANG
False,tgl mei kami rt re pangkuan tridadi dleman diy ke gu gong ternganga lihat keindahanya kami senang atas ciptaanya u kita nikmati thanks god,Goa Gong Pacitan,SENANG
False,tempat nya masih asri tempat bagus untuk bertualang bersama teman teman,Goa Gong Pacitan,SENANG
False,goa nya keren banget si parah recommend bgt buat liburan yg ekstrim²,Goa Gong Pacitan,SENANG
True,tempatnya mantap,Goa Gong Pacitan,SENANG
False,stalagmitnya bagus banget tangga menuju ruangan sdh di kasih pagar rapi dan kuat,Goa Gong Pacitan,SENANG
True,disarankan pake pemandu sih sekalian bisa difotoin jalan cukup jauh dan naik turun tangga,Goa Gong Pacitan,SENANG
True,goa terbesar di indonesia masuk rb ojek rb parkir rb ada ibu tua yg jualan nasi tiwul sejak tahun ajib banget citarasa nya indonesia,Goa Gong Pacitan,SENANG
False,di dalam sumpek panas sampai berkeringat baru pertama kali masuk tdk di sangka dalam nya lebar ada turunannya tangga kalau bawa anak kecil kasihan mending jangan di ajak masuk si kecilnya cukup di luar menikmati pemandangan,Goa Gong Pacitan,SEDIH
True,goa yang indah stalagmit dan stalagtitnya begitu indah dari kejauhan seperti membentuk bangunan candi kalo menurut saya saya datang pagi hati masih tidak ada pengunjung jadi didalam hawanya sejuk karena ada blower sebagai penunjang juga icon dari goa ini kan ada batuan yang bisa dipukul dan suaranya menyerupai gong dan itu terletak diruang memang jika banyak pengunjung goa akan terasa panas dan mungkin pengap bagi sebagian orang dengan jalan yg memang sempit jika ramai agak tidak nyaman juga tapi untuk semuanya sangat indah ada jasa guide nya juga namun kalo saya lebih senang mengeksplor sendiri karena bisa lama menikmati keindahan goa disetiap detail ruangannya ada banyak penjual juga saran saya gk perlu ngojek kalo mw naik krn deket tapi jika ingin memberi penghsilan ke tukang ojek y gpp rb per org tiket rb,Goa Gong Pacitan,SENANG
True,sngt mènajubkantmpt yg bnyak cerita,Goa Gong Pacitan,SEDIH
False,memahami proses alami,Goa Gong Pacitan,SENANG
True,yg mau kesini biaya masuk org kk untuk biaya parkir mobil sampai di atas ada jasa penyewaan senter k pemandu k tidak diharuskan di pantai klayar biaya masuk k rute goa gongpantai klayar memakan waktu menit,Goa Gong Pacitan,MARAH
True,geopark yang indah namun semakin banyak wisatawan semakin rentan tercemar,Goa Gong Pacitan,JIJIK
False,josss,Goa Gong Pacitan,SENANG
True,pengalaman yang menyenangkan sangat indah sekali rekomen buat liburan didalam goa sejuk dan utamakan stamina ya karena perjlannya butuh tenaga extra,Goa Gong Pacitan,SENANG
False,asik banget kita bisa temukan spot foto yg estetik dan indah saya sarankan bawa kamera digital biar lebih mantap jepretan nya dan banyak sovenir dg harga yg terjangkau selamat berkunjung kawan,Goa Gong Pacitan,SENANG
True,sangat bagus,Goa Gong Pacitan,SENANG
True,i suggest you to rent flash light before go into the cave and make sure youre in good condition,Goa Gong Pacitan,MARAH
True,baru kali ini wisata goa n bagussss sekali benar terawat n tambah cantik karena ada lampu hias warna warni yang memberi efek struktur goa yang dramatis sudah dipasang kipas angin yang kencang jadi di beberapa bagian terasa semilir tapi di bagian lain tetap terasa panas kekurangan lainnya akses menuju tempat ini susah buat lansia anak n yang punya masalah kaki karena menanjak dan ada tangga yg anak tangganya tinggi,Goa Gong Pacitan,TAKUT
True,panas sekali ketika memasuki goa untuk anak kecil kurang recommended karena ada tangga yang sangat curam,Goa Gong Pacitan,SEDIH
True,utk aturannya ojek mohon di cek kembali donk kita sebagai pengunjung seneng klau bisa ngojek brangkat dan pulang dr parkiran kembali kasihan para pengunjung yg usia manula khusus nya mosok brangkatnya aja dan balik nya gak boleh ngojek alesan petugas kesepakatan antara penjual dan tukang ojek klau pulang ke parkiran gak boleh ngojekcapek lo mb rejeki penjual oleh dan kaos sudah ada takerannya masing jika udah rejekinya tamu pasti akan belanja juga makasih,Goa Gong Pacitan,MARAH
True,yg jiwa petualang mencoba hal yg baruasik juga,Goa Gong Pacitan,SENANG
True,menarik,Goa Gong Pacitan,SENANG
False,bagus tempat wisatanya tapi ati ati sama tukang foto ny kena tipu sudah dari awal sblum foto udah melakukan kesepakatan boleh milih tapi alhasil semuany tiba tiba dicetak begitu saja dan harus bayar hasil fotonya rb,Goa Gong Pacitan,MARAH
True,salah satu destinasi wisata alam di pacitan yg bisa dikunjungi,Goa Gong Pacitan,SENANG
True,dr parkir naik ojek rbtiket masuk rb goa gong memang indahkeajaiban tuhan,Goa Gong Pacitan,SENANG
True,pengap tiket k per orang april,Goa Gong Pacitan,SEDIH
False,gua alami harus dirawat dan dijaga,Goa Gong Pacitan,JIJIK
True,good place,Goa Gong Pacitan,SENANG
True,cocok untuk yg fisiknya lg fit yaa tidak direkomendasikan buat lansia karena medan jalannya terlalu buat capek keindahan dan kemegahan dalam goa gong mashaallah tidak bisa diungkapkan dg kata maha besar allah atas ciptaannya,Goa Gong Pacitan,SEDIH
True,goa yg sangat menarik cuma perlu banyak papan buat share pengetahuan selain itu banyak anak tangga yg perlu diperbaiki nih dan spot foto perlu diperbanyak selain itu lampu pada tangga harus diperbaiki nih,Goa Gong Pacitan,SENANG
True,warisan indonesia yang tidak diwariskan keasrian nya,Goa Gong Pacitan,SEDIH
